Wind_power_MW,Solar_power_kW,Consumption_MW
138.6540824,0,29.71
137.790194,0,31.72
136.4943615,0,31.72
135.1985289,64.2816,41.31
120.5124267,371.4816,44.79
105.3943804,507.1872,43.27
90.70827819,807.2448,47.77
69.1110691,478.6176,46.06
47.94580419,542.976,43.71
26.78053927,471.4752,43.95
22.89304164,328.6272,43.86
19.43748818,200.064,42.53
15.54999055,42.8544,42.24
35.85136709,0,43.22
56.58468782,0,44.00
76.88606437,0,49.04
82.06939455,0,49.14
87.25272473,0,46.74
92.43605492,0,43.51
91.14022237,0,39.30
89.84438982,0,37.20
88.98050146,0,33.19
94.59577583,0,33.82
100.6429944,0,31.82
106.6902129,0,34.07
110.1457664,0,31.72
113.6013198,0,35.24
117.4888175,49.9968,35.98
103.2346595,300.0576,42.34
88.98050146,628.6848,43.51
74.29439928,1045.4016,46.01
64.3596831,2418.8928,45.96
53.99302273,1605.7344,46.60
43.62636237,1417.8048,44.39
34.55553455,905.7024,46.25
25.48470673,595.0464,45.42
16.84582309,42.8544,46.11
33.259702,0,43.07
49.67358091,0,45.37
66.08745982,0,49.88
72.56662255,0,48.36
79.04578528,0,47.09
85.09300382,0,43.02
84.66105964,0,39.01
83.79717128,0,34.85
83.3652271,0,35.39
84.22911546,0,33.04
85.09300382,0,32.65
85.95689219,0,32.89
86.82078055,0,31.13
87.68466892,0,32.79
88.98050146,476.8512,36.46
79.90967364,787.968,36.37
71.27079001,1222.1184,41.85
62.63190637,1999.7184,41.75
64.3596831,1989.1968,47.04
65.65551564,1281.8688,45.67
67.38329237,2298.624,43.95
52.69719019,809.7024,44.00
38.44303218,242.9184,43.51
23.75693,64.2816,42.53
39.30692055,0,42.83
54.42496691,0,45.76
69.54301328,0,46.69
82.50133873,0,48.60
95.45966419,0,44.54
108.4179896,0,41.95
112.7374315,0,37.69
117.0568733,0,34.51
121.3763151,0,31.37
123.536036,0,31.35
125.6957569,0,31.33
127.4235336,0,31.77
129.1513104,0,32.26
130.8790871,0,34.31
132.1749196,561.2544,39.30
114.033264,2789.8368,46.79
95.89160837,4348.2624,44.64
77.31800855,5566.1568,47.87
65.22357146,5731.7376,44.59
53.12913437,5452.6464,45.13
41.03469728,4639.4112,42.19
41.89858564,3706.4448,41.26
42.33052982,2465.7408,43.46
42.762474,535.3728,41.02
70.83884582,0,44.25
98.48327346,0,43.71
126.1277011,0,50.76
129.1513104,0,46.74
132.1749196,0,47.28
135.1985289,0,44.79
136.4943615,0,37.88
137.790194,0,36.17
138.6540824,0,32.45
138.2221382,0,32.79
138.2221382,0,33.19
137.790194,0,32.55
135.6304731,0,31.86
133.4707522,0,35.05
130.8790871,215.2704,42.34
109.281878,774.8352,45.23
87.68466892,817.7664,47.82
66.08745982,1273.5744,46.35
66.519404,2642.6112,48.60
67.38329237,4263.0912,45.76
67.81523655,5218.4832,47.72
58.74440873,3792.9984,45.67
49.24163673,2321.1264,41.41
39.73886473,424.32,41.36
52.265246,0,43.95
64.3596831,0,43.86
76.88606437,0,51.79
82.93328292,0,51.39
88.98050146,0,45.76
95.45966419,0,44.54
99.77910601,0,41.31
104.530492,0,36.71
108.8499338,0,33.48
112.7374315,0,33.63
116.1929849,0,31.28
119.6485384,0,33.09
120.5124267,0,33.53
121.3763151,0,34.95
122.2402035,166.4256,43.46
98.05132928,2696.064,45.57
73.8624551,1630.5408,47.77
50.10552509,2363.9808,47.48
39.30692055,1837.2096,49.63
28.508316,1749.6576,46.45
17.70971146,1717.7856,49.24
30.66803691,3198.9504,45.18
43.19441818,2652.1344,44.44
56.15274364,356.8896,44.05
72.56662255,0,42.24
89.41244564,0,44.39
106.2582687,0,48.07
110.1457664,0,47.92
114.033264,0,49.19
117.9207616,0,42.58
121.3763151,0,39.16
124.8318686,0,35.39
128.287422,0,32.75
129.5832546,0,33.38
130.8790871,0,30.44
132.1749196,0,31.33
134.3346406,0,33.58
136.4943615,0,34.26
138.6540824,828.9792,43.76
120.9443709,2796.4416,47.48
103.2346595,4814.8224,48.07
85.09300382,5781.0432,49.24
79.04578528,5521.2288,46.94
72.56662255,5315.1744,47.97
66.08745982,4695.0912,47.23
67.81523655,4256.3328,42.19
69.54301328,2752.9728,41.80
71.70273419,420.096,43.37
91.14022237,0,42.34
111.0096547,0,45.37
130.4471429,0,49.63
136.4943615,0,50.32
142.9735242,0,49.48
149.0207427,0,46.65
152.044352,0,42.39
155.4999055,0,36.32
158.5235147,0,35.98
160.6832356,0,33.28
163.2749007,0,31.62
165.4346216,0,33.53
165.8665658,0,33.63
165.8665658,0,37.00
166.29851,650.7264,40.48
150.7485195,3128.7552,46.35
135.6304731,4900.0704,48.51
120.5124267,5863.4496,49.39
109.281878,6528.768,47.33
98.05132928,5890.0992,46.65
86.82078055,4832.7168,45.32
81.20550619,1072.2816,47.09
75.15828764,435.7632,45.47
69.1110691,347.2128,43.32
92.8679991,0,42.83
116.6249291,0,44.79
140.8138033,0,51.83
145.1332451,0,48.75
149.8846311,0,47.82
154.2040729,0,47.87
155.4999055,0,43.71
156.3637938,0,38.96
157.2276822,0,34.90
157.2276822,0,34.90
156.795738,0,32.55
156.795738,0,32.06
155.0679613,0,32.79
153.3401846,0,35.53
152.044352,198.2208,39.11
138.2221382,1426.7136,44.74
123.9679802,4514.7648,47.97
110.1457664,4222.2336,46.74
89.41244564,4243.584,48.07
69.1110691,5090.8416,45.28
48.37774837,485.76,46.84
33.259702,1123.7376,44.83
18.57359982,350.0544,43.37
3.455553455,212.1216,43.02
20.73332073,0,44.10
37.57914382,0,45.96
54.85691109,0,49.29
52.265246,0,48.70
49.67358091,0,48.80
47.08191582,0,44.93
48.80969255,0,40.23
50.53746928,0,38.52
52.265246,0,35.29
49.67358091,0,35.09
47.08191582,0,32.21
44.05830655,0,31.62
38.011088,0,32.94
31.96386946,0,33.63
25.48470673,64.2816,36.95
36.71525546,192.9216,39.55
47.94580419,492.9024,43.27
59.17635291,1043.0208,48.31
72.99856673,1093.0176,47.67
86.82078055,1100.16,44.79
100.6429944,442.9056,44.69
98.91521764,635.8272,44.10
97.18744092,328.6272,40.97
95.45966419,49.9968,43.61
84.22911546,0,44.39
73.43051091,0,44.69
62.63190637,0,50.02
64.79162728,0,47.23
66.95134819,0,45.08
69.1110691,0,45.81
72.13467837,0,38.72
75.15828764,0,35.78
78.18189691,0,32.75
78.18189691,0,31.37
78.18189691,0,31.47
78.18189691,0,31.82
66.519404,0,31.91
55.28885528,0,34.46
44.05830655,210.048,41.95
63.06385055,715.0848,47.58
82.06939455,873.9072,47.23
101.0749386,1035.8784,48.51
116.1929849,1150.1568,44.79
